sample_type,total_count,study,principal_investigator,collection_date,date_count
Bacterial,855,CRE,Anesi,2018-01-23,1
Bacterial,855,CRE,Anesi,2018-04-25,1
Bacterial,855,CRE,Anesi,2018-04-27,1
Bacterial,855,CRE,Anesi,2018-05-04,1
Bacterial,855,CRE,Anesi,2018-05-07,1
Bacterial,855,CRE,Anesi,2018-05-08,1
Bacterial,855,CRE,Anesi,2018-05-10,1
Bacterial,855,CRE,Anesi,2018-05-11,1
Bacterial,855,CRE,Anesi,2018-05-29,3
Bacterial,855,CRE,Anesi,2018-05-31,1
Bacterial,855,CRE,Anesi,2018-06-05,1
Bacterial,855,CRE,Anesi,2018-06-09,1
Bacterial,855,CRE,Anesi,2018-06-10,1
Bacterial,855,CRE,Anesi,2018-06-12,1
Bacterial,855,CRE,Anesi,2018-06-13,1
Bacterial,855,CRE,Anesi,2018-06-21,1
Bacterial,855,CRE,Anesi,2018-06-27,2
Bacterial,855,CRE,Anesi,2018-07-03,1
Bacterial,855,CRE,Anesi,2018-07-05,1
Bacterial,855,CRE,Anesi,2018-07-10,2
Bacterial,855,CRE,Anesi,2018-07-11,1
Bacterial,855,CRE,Anesi,2018-07-12,2
Bacterial,855,CRE,Anesi,2018-07-13,1
Bacterial,855,CRE,Anesi,2018-07-28,1
Bacterial,855,CRE,Anesi,2018-08-07,3
Bacterial,855,CRE,Anesi,2018-08-08,2
Bacterial,855,CRE,Anesi,2018-08-09,1
Bacterial,855,CRE,Anesi,2018-08-10,1
Bacterial,855,CRE,Anesi,2018-08-16,1
Bacterial,855,CRE,Anesi,2018-08-22,1
Bacterial,855,CRE,Anesi,2018-08-25,1
Bacterial,855,CRE,Anesi,2018-09-05,1
Bacterial,855,CRE,Anesi,2018-09-06,1
Bacterial,855,CRE,Anesi,2018-09-09,1
Bacterial,855,CRE,Anesi,2018-09-12,1
Bacterial,855,CRE,Anesi,2018-09-13,1
Bacterial,855,CRE,Anesi,2018-09-16,1
Bacterial,855,CRE,Anesi,2018-09-26,1
Bacterial,855,CRE,Anesi,2018-09-27,1
Bacterial,855,CRE,Anesi,2018-10-04,3
Bacterial,855,CRE,Anesi,2018-10-07,1
Bacterial,855,CRE,Anesi,2018-10-10,1
Bacterial,855,CRE,Anesi,2018-10-14,1
Bacterial,855,CRE,Anesi,2018-10-15,2
Bacterial,855,CRE,Anesi,2018-10-17,1
Bacterial,855,CRE,Anesi,2018-10-22,2
Bacterial,855,CRE,Anesi,2018-10-24,2
Bacterial,855,CRE,Anesi,2018-10-29,1
Bacterial,855,CRE,Anesi,2018-11-01,2
Bacterial,855,CRE,Anesi,2018-11-02,1
Bacterial,855,CRE,Anesi,2018-11-16,1
Bacterial,855,CRE,Anesi,2018-11-18,1
Bacterial,855,CRE,Anesi,2018-11-20,1
Bacterial,855,CRE,Anesi,2018-11-22,1
Bacterial,855,CRE,Anesi,2018-11-26,1
Bacterial,855,CRE,Anesi,2018-11-27,1
Bacterial,855,CRE,Anesi,2018-12-11,1
Bacterial,855,CRE,Anesi,2018-12-14,1
Bacterial,855,CRE,Anesi,2018-12-19,1
Bacterial,855,CRE,Anesi,2018-12-20,2
Bacterial,855,CRE,Anesi,2018-12-25,1
Bacterial,855,CRE,Anesi,2018-12-27,1
Bacterial,855,CRE,Anesi,2018-12-29,1
Bacterial,855,CRE,Anesi,2019-01-01,1
Bacterial,855,CRE,Anesi,2019-01-05,1
Bacterial,855,CRE,Anesi,2019-01-07,1
Bacterial,855,CRE,Anesi,2019-01-08,2
Bacterial,855,CRE,Anesi,2019-01-11,1
Bacterial,855,CRE,Anesi,2019-01-13,1
Bacterial,855,CRE,Anesi,2019-01-18,1
Bacterial,855,CRE,Anesi,2019-01-23,1
Bacterial,855,CRE,Anesi,2019-01-29,1
Bacterial,855,CRE,Anesi,2019-01-31,1
Bacterial,855,CRE,Anesi,2019-02-13,2
Bacterial,855,CRE,Anesi,2019-02-20,1
Bacterial,855,CRE,Anesi,2019-02-24,1
Bacterial,855,CRE,Anesi,2019-03-02,1
Bacterial,855,CRE,Anesi,2019-03-05,1
Bacterial,855,CRE,Anesi,2019-03-07,1
Bacterial,855,CRE,Anesi,2019-03-10,1
Bacterial,855,CRE,Anesi,2019-03-11,1
Bacterial,855,CRE,Anesi,2019-03-28,1
Bacterial,855,CRE,Anesi,2019-03-29,1
Bacterial,855,CRE,Anesi,2019-03-31,1
Bacterial,855,CRE,Anesi,2019-04-07,1
Bacterial,855,CRE,Anesi,2019-04-16,2
Bacterial,855,CRE,Anesi,2019-04-23,1
Bacterial,855,CRE,Anesi,2019-04-26,1
Bacterial,855,CRE,Anesi,2019-05-05,1
Bacterial,855,CRE,Anesi,2019-05-11,1
Bacterial,855,CRE,Anesi,2019-05-19,1
Bacterial,855,CRE,Anesi,2019-05-24,1
Bacterial,855,CRE,Anesi,2019-05-29,2
Bacterial,855,CRE,Anesi,2019-06-05,1
Bacterial,855,CRE,Anesi,2019-06-07,1
Bacterial,855,CRE,Anesi,2019-06-20,1
Bacterial,855,CRE,Anesi,2019-06-21,2
Bacterial,855,CRE,Anesi,2019-06-28,1
Bacterial,855,CRE,Anesi,2019-07-01,1
Bacterial,855,CRE,Anesi,2019-07-09,1
Bacterial,855,CRE,Anesi,2019-07-11,1
Bacterial,855,CRE,Anesi,2019-07-24,1
Bacterial,855,CRE,Anesi,2019-07-25,1
Bacterial,855,CRE,Anesi,2019-08-28,1
Bacterial,855,CRE,Anesi,2019-08-30,1
Bacterial,855,CRE,Anesi,2019-09-04,1
Bacterial,855,CRE,Anesi,2019-09-07,1
Bacterial,855,CRE,Anesi,2019-09-10,1
Bacterial,855,CRE,Anesi,2019-09-15,1
Bacterial,855,CRE,Anesi,2019-09-16,1
Bacterial,855,CRE,Anesi,2019-09-17,1
Bacterial,855,CRE,Anesi,2019-09-19,1
Bacterial,855,CRE,Anesi,2019-09-24,1
Bacterial,855,CRE,Anesi,2019-10-03,1
Bacterial,855,CRE,Anesi,2019-10-10,1
Bacterial,855,CRE,Anesi,2019-10-11,1
Bacterial,855,CRE,Anesi,2019-10-14,2
Bacterial,855,CRE,Anesi,2019-10-18,1
Bacterial,855,CRE,Anesi,2019-11-04,1
Bacterial,855,CRE,Anesi,2019-11-05,1
Bacterial,855,CRE,Anesi,2019-11-07,1
Bacterial,855,CRE,Anesi,2019-11-14,1
Bacterial,855,CRE,Anesi,2019-11-18,1
Bacterial,855,CRE,Anesi,2019-11-20,1
Bacterial,855,CRE,Anesi,2019-11-23,3
Bacterial,855,CRE,Anesi,2019-11-25,1
Bacterial,855,CRE,Anesi,2019-11-26,1
Bacterial,855,CRE,Anesi,2019-11-27,1
Bacterial,855,CRE,Anesi,2019-11-29,1
Bacterial,855,CRE,Anesi,2019-11-30,1
Bacterial,855,CRE,Anesi,2019-12-02,1
Bacterial,855,CRE,Anesi,2019-12-05,1
Bacterial,855,CRE,Anesi,2019-12-10,2
Bacterial,855,CRE,Anesi,2019-12-27,1
Bacterial,855,CRE,Anesi,2020-01-01,1
Bacterial,855,CRE,Anesi,2020-01-06,1
Bacterial,855,CRE,Anesi,2020-01-07,1
Bacterial,855,CRE,Anesi,2020-01-12,1
Bacterial,855,CRE,Anesi,2020-01-16,2
Bacterial,855,CRE,Anesi,2020-01-17,1
Bacterial,855,CRE,Anesi,2020-01-21,2
Bacterial,855,CRE,Anesi,2020-01-24,1
Bacterial,855,CRE,Anesi,2020-01-25,1
Bacterial,855,CRE,Anesi,2020-01-27,1
Bacterial,855,CRE,Anesi,2020-02-01,1
Bacterial,855,CRE,Anesi,2020-02-03,1
Bacterial,855,CRE,Anesi,2020-02-05,1
Bacterial,855,CRE,Anesi,2020-02-07,2
Bacterial,855,CRE,Anesi,2020-02-09,1
Bacterial,855,CRE,Anesi,2020-02-14,2
Bacterial,855,CRE,Anesi,2020-02-26,2
Bacterial,855,CRE,Anesi,2020-02-28,1
Bacterial,855,CRE,Anesi,2020-03-04,1
Bacterial,855,CRE,Anesi,2020-03-28,1
Bacterial,855,CRE,Anesi,2020-04-01,1
Bacterial,855,CRE,Anesi,2020-04-05,2
Bacterial,855,CRE,Anesi,2020-04-08,1
Bacterial,855,CRE,Anesi,2020-04-15,1
Bacterial,855,CRE,Anesi,2020-04-19,1
Bacterial,855,CRE,Anesi,2020-04-22,1
Bacterial,855,CRE,Anesi,2020-04-26,2
Bacterial,855,CRE,Anesi,2020-04-29,1
Bacterial,855,CRE,Anesi,2020-05-01,2
Bacterial,855,CRE,Anesi,2020-05-04,2
Bacterial,855,CRE,Anesi,2020-05-05,1
Bacterial,855,CRE,Anesi,2020-05-11,3
Bacterial,855,CRE,Anesi,2020-05-12,1
Bacterial,855,CRE,Anesi,2020-05-14,1
Bacterial,855,CRE,Anesi,2020-05-17,1
Bacterial,855,CRE,Anesi,2020-05-19,1
Bacterial,855,CRE,Anesi,2020-05-23,1
Bacterial,855,CRE,Anesi,2020-05-25,1
Bacterial,855,CRE,Anesi,2020-06-02,1
Bacterial,855,CRE,Anesi,2020-06-03,1
Bacterial,855,CRE,Anesi,2020-06-04,1
Bacterial,855,CRE,Anesi,2020-06-08,1
Bacterial,855,CRE,Anesi,2020-06-10,3
Bacterial,855,CRE,Anesi,2020-06-16,1
Bacterial,855,CRE,Anesi,2020-06-20,1
Bacterial,855,CRE,Anesi,2020-06-22,2
Bacterial,855,CRE,Anesi,2020-06-23,1
Bacterial,855,CRE,Anesi,2020-07-08,1
Bacterial,855,CRE,Anesi,2020-07-10,2
Bacterial,855,CRE,Anesi,2020-07-12,2
Bacterial,855,CRE,Anesi,2020-07-13,1
Bacterial,855,CRE,Anesi,2020-07-15,1
Bacterial,855,CRE,Anesi,2020-07-16,2
Bacterial,855,CRE,Anesi,2020-07-18,2
Bacterial,855,CRE,Anesi,2020-07-23,2
Bacterial,855,CRE,Anesi,2020-07-29,1
Bacterial,855,CRE,Anesi,2020-07-30,1
Bacterial,855,CRE,Anesi,2020-08-03,2
Bacterial,855,CRE,Anesi,2020-08-05,1
Bacterial,855,CRE,Anesi,2020-08-06,1
Bacterial,855,CRE,Anesi,2020-08-10,1
Bacterial,855,CRE,Anesi,2020-08-11,1
Bacterial,855,CRE,Anesi,2020-08-14,1
Bacterial,855,CRE,Anesi,2020-08-23,1
Bacterial,855,CRE,Anesi,2020-08-28,1
Bacterial,855,CRE,Anesi,2020-09-02,1
Bacterial,855,CRE,Anesi,2020-09-04,1
Bacterial,855,CRE,Anesi,2020-09-05,2
Bacterial,855,CRE,Anesi,2020-09-06,2
Bacterial,855,CRE,Anesi,2020-09-09,1
Bacterial,855,CRE,Anesi,2020-09-16,1
Bacterial,855,CRE,Anesi,2020-09-19,1
Bacterial,855,CRE,Anesi,2020-09-22,1
Bacterial,855,CRE,Anesi,2020-09-26,1
Bacterial,855,CRE,Anesi,2020-09-28,1
