microbial_species,total_count,study,principal_investigator,study_count
Achromobacter,5,ICEMAN,Ziegler,3
Achromobacter,5,SOTDDI,Anesi,2
Acinetobacter,41,CRACKLE,Lautenbach,11
Acinetobacter,41,ICEMAN,Ziegler,8
Acinetobacter,41,MIRA,Kelly,3
Acinetobacter,41,SOTDDI,Anesi,19
Citrobacter,131,ARLG_SOT,Anesi,3
Citrobacter,131,CRE,Anesi,52
Citrobacter,131,ICEMAN,Ziegler,46
Citrobacter,131,INTEGRATE,Lautenbach,17
Citrobacter,131,MERLIN,Lautenbach,5
Citrobacter,131,SOTDDI,Anesi,8
Clostridioides,38,ICEMAN,Ziegler,38
Corynebacterium,10,ALCHEMY,Ziegler,1
Corynebacterium,10,SOTDDI,Anesi,9
Cutibacterium,3,SOTDDI,Anesi,3
Enterobacter,170,ARLG_SOT,Anesi,8
Enterobacter,170,CRE,Anesi,63
Enterobacter,170,ICEMAN,Ziegler,26
Enterobacter,170,INTEGRATE,Lautenbach,37
Enterobacter,170,MERLIN,Lautenbach,8
Enterobacter,170,SOTDDI,Anesi,28
Enterococcus,147,CRE,Anesi,1
Enterococcus,147,ICEMAN,Ziegler,116
Enterococcus,147,INTEGRATE,Lautenbach,1
Enterococcus,147,SOTDDI,Anesi,29
Escherichia,264,CRE,Anesi,74
Escherichia,264,IMPALA_BC,Lautenbach,39
Escherichia,264,INTEGRATE,Lautenbach,30
Escherichia,264,MERLIN,Lautenbach,112
Escherichia,264,SOTDDI,Anesi,9
Haemophilus,7,SOTDDI,Anesi,7
Klebsiella,1304,ALCHEMY,Ziegler,3
Klebsiella,1304,ARLG_SOT,Anesi,39
Klebsiella,1304,CRE,Anesi,360
Klebsiella,1304,ICEMAN,Ziegler,74
Klebsiella,1304,IMPALA_BC,Lautenbach,97
Klebsiella,1304,INTEGRATE,Lautenbach,643
Klebsiella,1304,MERLIN,Lautenbach,34
Klebsiella,1304,MIRA,Kelly,2
Klebsiella,1304,SOTDDI,Anesi,52
Morganella,13,CRE,Anesi,5
Morganella,13,ICEMAN,Ziegler,8
Proteus,14,ARLG_SOT,Anesi,1
Proteus,14,CRE,Anesi,7
Proteus,14,ICEMAN,Ziegler,2
Proteus,14,SOTDDI,Anesi,4
Providencia,32,CRE,Anesi,25
Providencia,32,ICEMAN,Ziegler,6
Providencia,32,SOTDDI,Anesi,1
Pseudomonas,257,CRE,Anesi,1
Pseudomonas,257,ICEMAN,Ziegler,170
Pseudomonas,257,INTEGRATE,Lautenbach,1
Pseudomonas,257,MIRA,Kelly,28
Pseudomonas,257,SOTDDI,Anesi,42
Pseudomonas,257,TRIP-AMR,Kelly,15
Raoultella,22,ARLG_SOT,Anesi,1
Raoultella,22,CRE,Anesi,10
Raoultella,22,ICEMAN,Ziegler,10
Raoultella,22,SOTDDI,Anesi,1
Serratia,67,ARLG_SOT,Anesi,4
Serratia,67,CRE,Anesi,9
Serratia,67,INTEGRATE,Lautenbach,29
Serratia,67,MERLIN,Lautenbach,1
Serratia,67,MIRA,Kelly,3
Serratia,67,SOTDDI,Anesi,21
Staphylococcus,11571,ALCHEMY,Ziegler,8
Staphylococcus,11571,ICEMAN,Ziegler,103
Staphylococcus,11571,MIRA,Kelly,7
Staphylococcus,11571,MRSA,David,8102
Staphylococcus,11571,SOTDDI,Anesi,149
Staphylococcus,11571,SPREAD,David,2595
Staphylococcus,11571,SPRHCW,David,607
Stenotrophomonas,45,ICEMAN,Ziegler,27
Stenotrophomonas,45,MIRA,Kelly,3
Stenotrophomonas,45,SOTDDI,Anesi,15
Streptococcus,39,ALCHEMY,Ziegler,1
Streptococcus,39,SOTDDI,Anesi,38
