sample_type,total_count,study,principal_investigator,study_count
Environmental,569,DECON,Ziegler,164
Environmental,569,ICEMAN,Ziegler,285
Environmental,569,MERLIN,Lautenbach,118
Environmental,569,MIRA,Kelly,2
Nasal,3658,ICEMAN,Ziegler,283
Nasal,3658,MIRA,Kelly,956
Nasal,3658,SPREAD,David,1473
Nasal,3658,SPRHCW,David,35
Nasal,3658,STEVO,David,911
Rectal,1595,ICEMAN,Ziegler,270
Rectal,1595,SToP-CDI,Ziegler,879
Rectal,1595,UP,Kelly,446
Sputum,2577,MIRA,Kelly,1792
Sputum,2577,SPACEMAN,Chiotos,785
Stool,6978,ALCHEMY,Ziegler,1922
Stool,6978,BrownFMT,Kelly,173
Stool,6978,C.diff,Kelly,400
Stool,6978,ICEMAN,Ziegler,109
Stool,6978,IMPALA,Lautenbach,2469
Stool,6978,MERLIN,Lautenbach,160
Stool,6978,MIRA,Kelly,31
Stool,6978,ONC,Ziegler,273
Stool,6978,Pet_Cdiff,Redding,8
Stool,6978,SPACEMAN,Chiotos,222
Stool,6978,mVACS,Kelly,1211
