sample_type,total_count,study,principal_investigator,collection_date,date_count
Bacterial,602,SPACEMAN,Chiotos,2022-11-16,2
Bacterial,602,SPACEMAN,Chiotos,2022-11-22,6
Bacterial,602,SPACEMAN,Chiotos,2022-11-30,6
Bacterial,602,SPACEMAN,Chiotos,2022-12-07,6
Bacterial,602,SPACEMAN,Chiotos,2022-12-14,6
Bacterial,602,SPACEMAN,Chiotos,2022-12-21,6
Bacterial,602,SPACEMAN,Chiotos,2022-12-27,5
Bacterial,602,SPACEMAN,Chiotos,2022-12-28,6
Bacterial,602,SPACEMAN,Chiotos,2023-01-04,6
Bacterial,602,SPACEMAN,Chiotos,2023-01-11,6
Bacterial,602,SPACEMAN,Chiotos,2023-01-18,6
Bacterial,602,SPACEMAN,Chiotos,2023-01-25,4
Bacterial,602,SPACEMAN,Chiotos,2023-02-01,4
Bacterial,602,SPACEMAN,Chiotos,2023-02-08,4
Bacterial,602,SPACEMAN,Chiotos,2023-02-13,2
Bacterial,602,SPACEMAN,Chiotos,2023-02-15,4
Bacterial,602,SPACEMAN,Chiotos,2023-02-22,6
Bacterial,602,SPACEMAN,Chiotos,2023-03-01,4
Bacterial,602,SPACEMAN,Chiotos,2023-03-08,5
Bacterial,602,SPACEMAN,Chiotos,2023-03-15,9
Bacterial,602,SPACEMAN,Chiotos,2023-03-22,7
Bacterial,602,SPACEMAN,Chiotos,2023-03-29,8
Bacterial,602,SPACEMAN,Chiotos,2023-04-03,4
Bacterial,602,SPACEMAN,Chiotos,2023-04-05,7
Bacterial,602,SPACEMAN,Chiotos,2023-04-12,8
Bacterial,602,SPACEMAN,Chiotos,2023-04-19,8
Bacterial,602,SPACEMAN,Chiotos,2023-04-26,8
Bacterial,602,SPACEMAN,Chiotos,2023-05-03,10
Bacterial,602,SPACEMAN,Chiotos,2023-05-08,2
Bacterial,602,SPACEMAN,Chiotos,2023-05-10,6
Bacterial,602,SPACEMAN,Chiotos,2023-05-17,6
Bacterial,602,SPACEMAN,Chiotos,2023-05-24,8
Bacterial,602,SPACEMAN,Chiotos,2023-05-31,6
Bacterial,602,SPACEMAN,Chiotos,2023-06-07,6
Bacterial,602,SPACEMAN,Chiotos,2023-06-14,4
Bacterial,602,SPACEMAN,Chiotos,2023-06-20,4
Bacterial,602,SPACEMAN,Chiotos,2023-06-21,4
Bacterial,602,SPACEMAN,Chiotos,2023-06-28,6
Bacterial,602,SPACEMAN,Chiotos,2023-07-05,6
Bacterial,602,SPACEMAN,Chiotos,2023-07-12,6
Bacterial,602,SPACEMAN,Chiotos,2023-07-17,2
Bacterial,602,SPACEMAN,Chiotos,2023-07-19,8
Bacterial,602,SPACEMAN,Chiotos,2023-07-26,10
Bacterial,602,SPACEMAN,Chiotos,2023-08-02,7
Bacterial,602,SPACEMAN,Chiotos,2023-08-09,7
Bacterial,602,SPACEMAN,Chiotos,2023-08-16,5
Bacterial,602,SPACEMAN,Chiotos,2023-08-23,7
Bacterial,602,SPACEMAN,Chiotos,2023-08-30,8
Bacterial,602,SPACEMAN,Chiotos,2023-09-06,8
Bacterial,602,SPACEMAN,Chiotos,2023-09-13,7
Bacterial,602,SPACEMAN,Chiotos,2023-09-20,8
Bacterial,602,SPACEMAN,Chiotos,2023-09-27,10
Bacterial,602,SPACEMAN,Chiotos,2023-10-04,8
Bacterial,602,SPACEMAN,Chiotos,2023-10-11,9
Bacterial,602,SPACEMAN,Chiotos,2023-10-18,8
