Date,Focus,Presenters,Topic
2024-01-09,ASPIRE-MOTION Joint Meeting,Dickinson,Staph & fentanyl
2024-01-16,Informatics & Data Management,Cressman / Cowden,joining Clarity tables in R / Excel vs REDCap
2024-01-30,Environment-MOTION Joint Meeting,Ziegler,HO-CDI
2024-02-06,Bench Assay Development,Cowden,MDRO stability
2024-02-13,ASPIRE-MOTION Joint Meeting,Rust,Duration of Empiric Antifungal Use Among Patients with Culture-Negative Sepsis and Septic Shock
2024-02-20,Informatics & Data Management,Wilkins,code repository & sharing
2024-02-27,Environment-MOTION Joint Meeting,Dutcher,linear vs Poisson regression
2024-03-12,ASPIRE-MOTION Joint Meeting,Mezochow,transplant microbiome study planning
2024-03-19,Bench Assay Development,Patel,sensitivity assays
2024-04-02,Environment-MOTION Joint Meeting,Kelly,metagenomic MDIs
2024-04-09,ASPIRE-MOTION Joint Meeting,Kathleen Degnan,Blood culture stewardship study
2024-04-16,Informatics & Data Management,Wilkins,metagenomic pipeline
2024-04-23,Environment-MOTION Joint Meeting,Ziegler,ICEMAN E2A
2024-05-07,Bench Assay Development,Hiehle / Jacko,Staph cx and WGS
2024-05-21,Informatics & Data Management,Cressman,oupatient vs inpatient medications
2024-06-11,ASPIRE-MOTION Joint Meeting,Rust/Dickinson,Pharmacy resident project results
2024-06-18,Summer Session - Code Review,Leigh Cressman,"R navigation, data types, reading data"
2024-06-25,Summer Session - Journal Club,Emilia Wilkins,github
2024-07-30,Summer Session - Code Review,Laura Cowden,Data wrangling & cleaning
2024-08-06,Summer Session - Journal Club,Dylan Tapper,Metagenomics
2024-08-20,Summer Session - Code Review,Cressman / Cowden,Data visualization
2024-08-27,Summer Session - Journal Club,Maeve Hiehle,Staph
2024-09-03,Summer Session - Code Review,Leigh Cressman,R for statistical analysis
2024-09-10,ASPIRE-MOTION Joint Meeting,Kelly,antibiotic duration and the microbiome
2024-09-24,Environment-MOTION Joint Meeting,Ziegler,STOP-CDI
2024-10-08,ASPIRE-MOTION Joint Meeting,Dutcher,Abx prescribing for pharyngitis analysis
2024-10-15,Bench Assay Development,Cowden,lab workflow and documentation
2024-10-22,Environment-MOTION Joint Meeting,Sherrie Xie,spatial analysis of MDRO reservoirs
2024-11-05,Journal Club,Kelly,Fecal metabolites & post-op infection
2024-11-12,ASPIRE-MOTION Joint Meeting,Jess O'Neil,National trends in abx prescribing using CMS data
2024-11-19,Bench Assay Development,Dylan Tapper,selective cultures
2024-12-10,ASPIRE-MOTION Joint Meeting,Alyssa Mezochow,"mechanical support devices, microbiome change, and BSI"
2024-12-17,Lab Meeeting Planning,Brendan K,planning for 2025
2025-01-14,MOTION WIP,Ebb Lautenbach,AMR cohort development
2025-01-28,Assay Development & Journal Club,Dylan Tapper,positron and fwf cleanup
2025-02-11,MOTION WIP,Michael David,SPREAD Staph aureus
2025-03-11,MOTION WIP,Lauren Dutcher,NAPS data
2025-03-25,Assay Development & Journal Club,Laura & Kim,MERLIN startup
2025-04-08,MOTION WIP,Brendan K,ICEMAN transmission
2025-05-06,MOTION WIP,Nathan,Staph aureus transmission
2025-06-03,MOTION WIP,Matt Z,ALCHEMY gut permeability
2025-06-17,Assay Development & Journal Club,Kim G,Quantifying environmental bacterial contamination
2025-09-09,MOTION WIP,Brendan K,Measure Twice Cut Once
2025-10-14,MOTION WIP,Lauren D,LLMs and stewardship
2025-10-28,Assay Development & Journal Club,Brendan K,MALDI data analysis
2025-11-11,MOTION WIP,Matt Z,neutropenic fever microbiome
2025-11-25,Assay Development & Journal Club,Maeve H,MSSA growth curves
2025-12-09,Assay Development & Journal Club,Kim and Laura and Brendan,data show and tell
2026-01-13,MOTION WIP,Michael D,Staph molecular epi
2026-02-10,MOTION WIP,Jessica O'Neil,CRGNA Results/AIMS
2026-03-10,MOTION WIP,Alyssa M,BSI microbiome
2026-03-24,Assay Development & Journal Club,"Brendan, Kim, Laura",MALDI pipeline
2026-04-14,MOTION WIP,Leigh C,LLMs and SSIs
2026-04-28,Assay Development & Journal Club,NA,NA
2026-05-12,MOTION WIP,NA,NA
2026-05-26,Assay Development & Journal Club,NA,NA
