study,principal_investigator
ALCHEMY,Ziegler
ARLG_SOT,Anesi
C.diff,Kelly
CRACKLE,Lautenbach
CRE,Anesi
CRKP,Anesi
CURE,Lautenbach
DAVID,David
DECON,Ziegler
ICEMAN,Ziegler
IMPALA,Lautenbach
IMPALA_BC,Lautenbach
INTEGRATE,Lautenbach
MERLIN,Lautenbach
MIMIC,Pebenito
MIRA,Kelly
MRSA,David
MSSA,David
mVACS,Kelly
ONC,Ziegler
Pet_Cdiff,Redding
PMT,Kelly
PREDICT ESBL,Lautenbach
QC,Kelly
SOTDDI,Anesi
SPACEMAN,Chiotos
SPREAD,David
SPRFOMITECOM,David
SPRHCW,David
STEVO,David
SToP-CDI,Ziegler
TRIP-AMR,Kelly
UP,Kelly
BrownFMT,Kelly
