sample_type,total_count,study,principal_investigator,collection_date,date_count
Bacterial,1524,SPACEMAN,Chiotos,2022-11-16,2
Bacterial,1524,SPACEMAN,Chiotos,2022-11-22,6
Bacterial,1524,SPACEMAN,Chiotos,2022-11-30,6
Bacterial,1524,SPACEMAN,Chiotos,2022-12-07,6
Bacterial,1524,SPACEMAN,Chiotos,2022-12-12,4
Bacterial,1524,SPACEMAN,Chiotos,2022-12-13,2
Bacterial,1524,SPACEMAN,Chiotos,2022-12-14,4
Bacterial,1524,SPACEMAN,Chiotos,2022-12-19,2
Bacterial,1524,SPACEMAN,Chiotos,2022-12-20,4
Bacterial,1524,SPACEMAN,Chiotos,2022-12-21,6
Bacterial,1524,SPACEMAN,Chiotos,2022-12-26,1
Bacterial,1524,SPACEMAN,Chiotos,2022-12-27,5
Bacterial,1524,SPACEMAN,Chiotos,2022-12-28,6
Bacterial,1524,SPACEMAN,Chiotos,2023-01-02,1
Bacterial,1524,SPACEMAN,Chiotos,2023-01-03,4
Bacterial,1524,SPACEMAN,Chiotos,2023-01-04,6
Bacterial,1524,SPACEMAN,Chiotos,2023-01-09,2
Bacterial,1524,SPACEMAN,Chiotos,2023-01-11,6
Bacterial,1524,SPACEMAN,Chiotos,2023-01-17,3
Bacterial,1524,SPACEMAN,Chiotos,2023-01-18,6
Bacterial,1524,SPACEMAN,Chiotos,2023-01-23,1
Bacterial,1524,SPACEMAN,Chiotos,2023-01-25,4
Bacterial,1524,SPACEMAN,Chiotos,2023-01-30,2
Bacterial,1524,SPACEMAN,Chiotos,2023-01-31,2
Bacterial,1524,SPACEMAN,Chiotos,2023-02-01,4
Bacterial,1524,SPACEMAN,Chiotos,2023-02-06,2
Bacterial,1524,SPACEMAN,Chiotos,2023-02-07,2
Bacterial,1524,SPACEMAN,Chiotos,2023-02-08,3
Bacterial,1524,SPACEMAN,Chiotos,2023-02-13,4
Bacterial,1524,SPACEMAN,Chiotos,2023-02-15,4
Bacterial,1524,SPACEMAN,Chiotos,2023-02-20,2
Bacterial,1524,SPACEMAN,Chiotos,2023-02-21,2
Bacterial,1524,SPACEMAN,Chiotos,2023-02-22,6
Bacterial,1524,SPACEMAN,Chiotos,2023-02-28,4
Bacterial,1524,SPACEMAN,Chiotos,2023-03-01,4
Bacterial,1524,SPACEMAN,Chiotos,2023-03-06,3
Bacterial,1524,SPACEMAN,Chiotos,2023-03-07,2
