Folder,Protocol,protocol_path,clean_protocol_path,clean_protocol_url
Data Management,File_Naming_Formula_Template.docx,Data Management/File_Naming_Formula_Template.docx,data_management/file_naming_formula_template.docx,https://bjklab.github.io/motionlab-site/protocols/data_management/file_naming_formula_template.docx
Data Management,Research_Data_Lifecycle_Template.pptx,Data Management/Research_Data_Lifecycle_Template.pptx,data_management/research_data_lifecycle_template.pptx,https://bjklab.github.io/motionlab-site/protocols/data_management/research_data_lifecycle_template.pptx
LabVantage Help Files,InfDiseaseLabVantageHelp.pdf,LabVantage Help Files/InfDiseaseLabVantageHelp.pdf,labvantage_help_files/infdiseaselabvantagehelp.pdf,https://bjklab.github.io/motionlab-site/protocols/labvantage_help_files/infdiseaselabvantagehelp.pdf
LabVantage Help Files,InfDiseaseLabVantageViewerHelp.pdf,LabVantage Help Files/InfDiseaseLabVantageViewerHelp.pdf,labvantage_help_files/infdiseaselabvantageviewerhelp.pdf,https://bjklab.github.io/motionlab-site/protocols/labvantage_help_files/infdiseaselabvantageviewerhelp.pdf
R Code,IMPALA_longread_seq.R,R Code/IMPALA_longread_seq.R,r_code/impala_longread_seq.r,https://bjklab.github.io/motionlab-site/protocols/r_code/impala_longread_seq.r
R Code,IMPALA_reseq.R,R Code/IMPALA_reseq.R,r_code/impala_reseq.r,https://bjklab.github.io/motionlab-site/protocols/r_code/impala_reseq.r
R Code,integrate_cleanup.R,R Code/integrate_cleanup.R,r_code/integrate_cleanup.r,https://bjklab.github.io/motionlab-site/protocols/r_code/integrate_cleanup.r
R Code,R Tutorial Code/Combining Data Sets Code.R,R Code/R Tutorial Code/Combining Data Sets Code.R,r_code/r_tutorial_code/combining_data_sets_code.r,https://bjklab.github.io/motionlab-site/protocols/r_code/r_tutorial_code/combining_data_sets_code.r
R Code,R Tutorial Code/Data Importing and Tidying Code.R,R Code/R Tutorial Code/Data Importing and Tidying Code.R,r_code/r_tutorial_code/data_importing_and_tidying_code.r,https://bjklab.github.io/motionlab-site/protocols/r_code/r_tutorial_code/data_importing_and_tidying_code.r
R Code,R Tutorial Code/Exploratory Analyses Code.R,R Code/R Tutorial Code/Exploratory Analyses Code.R,r_code/r_tutorial_code/exploratory_analyses_code.r,https://bjklab.github.io/motionlab-site/protocols/r_code/r_tutorial_code/exploratory_analyses_code.r
R Code,R Tutorial Code/Map-making Code.R,R Code/R Tutorial Code/Map-making Code.R,r_code/r_tutorial_code/map-making_code.r,https://bjklab.github.io/motionlab-site/protocols/r_code/r_tutorial_code/map-making_code.r
R Code,R Tutorial Code/RobustStdErrors.R,R Code/R Tutorial Code/RobustStdErrors.R,r_code/r_tutorial_code/robuststderrors.r,https://bjklab.github.io/motionlab-site/protocols/r_code/r_tutorial_code/robuststderrors.r
R Code,R Tutorial Code/Visualization Code.R,R Code/R Tutorial Code/Visualization Code.R,r_code/r_tutorial_code/visualization_code.r,https://bjklab.github.io/motionlab-site/protocols/r_code/r_tutorial_code/visualization_code.r
R Code,R Tutorial Code/Wrangling Data Code.R,R Code/R Tutorial Code/Wrangling Data Code.R,r_code/r_tutorial_code/wrangling_data_code.r,https://bjklab.github.io/motionlab-site/protocols/r_code/r_tutorial_code/wrangling_data_code.r
Wet Bench,ALCHEMY ELISA revised protocol.docx,Wet Bench/ALCHEMY ELISA revised protocol.docx,wet_bench/alchemy_elisa_revised_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/alchemy_elisa_revised_protocol.docx
